step,ux,uy
234,0.049286,-1.66415e-16
235,0.0492701,-1.24815e-16
236,0.0492547,2.28833e-16
237,0.0492396,-2.7738e-17
238,0.0492246,-2.0804e-17
239,0.0492097,-2.08045e-17
240,0.0491948,1.94181e-16
241,0.0491801,-3.46759e-17
242,0.0491655,1.9419e-16
243,0.0491512,2.77421e-17
244,0.0491371,3.39848e-16
245,0.0491234,6.24225e-17
246,0.04911,6.93598e-17
247,0.0490971,-3.46806e-16
248,0.0490847,-1.1098e-16
249,0.0490729,-8.32367e-17
250,0.0490618,2.70524e-16
251,0.0490512,2.35845e-16
252,0.0490411,2.70533e-16
253,0.0490315,-1.38737e-16
254,0.0490222,-8.32432e-17
255,0.0490133,-1.10992e-16
256,0.0490046,4.85598e-17
257,0.0489963,-3.4686e-17
258,0.0489881,6.93729e-17
259,0.0489802,-5.54989e-17
260,0.0489724,1.45686e-16
261,0.0489648,-4.85626e-17
262,0.0489574,1.52627e-16
263,0.0489502,-6.93766e-18
264,0.0489431,-6.93773e-18
265,0.0489363,-2.15072e-16
266,0.0489296,-1.45695e-16
267,0.0489232,-1.52634e-16
268,0.048917,-2.35891e-16
269,0.0489109,-4.5791e-16
270,0.0489051,-2.42833e-16
271,0.0488995,-6.93813e-17
272,0.0488941,1.87331e-16
273,0.0488889,2.08147e-17
274,0.0488839,0
275,0.0488791,-1.87334e-16
276,0.0488746,8.32601e-17
277,0.0488702,1.80398e-16
278,0.048866,2.56721e-16
279,0.0488619,-8.32612e-17
280,0.048858,-1.66523e-16
281,0.0488542,-2.7754e-16
282,0.0488505,-2.01217e-16
283,0.0488469,-5.34267e-16
284,0.0488433,-1.66525e-16
285,0.0488399,-5.55086e-17
286,0.0488366,3.12237e-16
287,0.0488333,1.73466e-16
288,0.04883,5.48153e-16
289,0.0488269,2.91424e-16
290,0.0488238,4.37137e-16
291,0.0488208,1.45713e-16
292,0.0488179,3.53874e-16
293,0.0488151,3.53875e-16
294,0.0488123,5.41221e-16
295,0.0488096,4.16325e-16
296,0.048807,5.96733e-16
297,0.0488044,3.81632e-16
298,0.0488019,5.1347e-16
299,0.0487995,3.19184e-16
300,0.0487971,1.24898e-16
301,0.0487948,-2.42858e-16
302,0.0487925,-1.80409e-16
303,0.0487902,-3.88574e-16
304,0.0487879,-6.93882e-17
305,0.0487857,-2.15104e-16
306,0.0487834,1.24899e-16
307,0.0487812,6.93884e-18
308,0.048779,9.71439e-17
309,0.0487768,6.24497e-17
310,0.0487746,3.46943e-17
311,0.0487725,-6.24498e-17
312,0.0487703,-1.04083e-16
313,0.0487682,-1.38778e-16
314,0.0487661,-4.16333e-17
315,0.0487641,1.38778e-16
316,0.048762,-1.11022e-16
317,0.04876,1.04083e-16
318,0.048758,-4.85723e-17
319,0.0487559,6.9389e-17
320,0.0487539,2.15106e-16
321,0.0487519,3.88579e-16
322,0.0487499,2.98373e-16
323,0.0487479,3.95518e-16
324,0.0487459,4.23274e-16
325,0.0487439,3.74702e-16
326,0.0487419,2.63679e-16
327,0.0487399,2.22046e-16
328,0.0487379,1.66535e-16
329,0.0487359,2.84497e-16
330,0.0487339,3.2613e-16
331,0.048732,2.98375e-16
332,0.04873,2.28985e-16
333,0.048728,1.45718e-16
334,0.048726,1.17962e-16
335,0.0487241,-6.24507e-17
336,0.0487221,-2.49803e-16
337,0.0487201,-1.80413e-16
338,0.0487182,1.04085e-16
339,0.0487162,1.38779e-16
340,0.0487143,2.08169e-16
341,0.0487123,3.33071e-16
342,0.0487104,4.7879e-16
343,0.0487084,3.12254e-16
344,0.0487064,3.12255e-16
345,0.0487044,1.04085e-16
346,0.0487025,-2.7756e-17
347,0.0487005,-2.0817e-17
348,0.0486985,-8.3268e-17
349,0.0486965,-5.5512e-17
350,0.0486946,-3.4695e-17
351,0.0486925,4.85731e-17
352,0.0486906,-8.32682e-17
353,0.0486886,-1.73475e-16
354,0.0486867,-3.5389e-16
355,0.0486846,-2.56744e-16
356,0.0486827,-3.26134e-16
357,0.0486806,-1.52659e-16
358,0.0486788,-4.71854e-16
359,0.0486767,-3.67769e-16
360,0.0486748,-5.48184e-16
361,0.0486727,-4.02465e-16
362,0.0486708,-1.94293e-16
363,0.0486687,6.93905e-18
364,0.0486668,-4.16343e-17
365,0.0486647,4.16343e-17
366,0.0486629,-3.46953e-17
367,0.0486607,4.16344e-17
368,0.0486589,1.04086e-16
369,0.0486567,2.91441e-16
370,0.0486549,2.2205e-16
371,0.0486527,4.30223e-16
372,0.0486509,3.88589e-16
373,0.0486486,3.67771e-16
374,0.0486469,2.08173e-16
375,0.0486446,5.3431e-16
376,0.0486429,4.16346e-16
377,0.0486406,3.12259e-16
378,0.0486389,6.24519e-17
379,0.0486365,2.15112e-16
380,0.0486349,4.02468e-16
381,0.0486325,5.55129e-16
382,0.0486309,1.52661e-16
383,0.0486285,6.24521e-17
384,0.0486269,-2.08174e-16
385,0.0486244,-3.33078e-16
386,0.0486229,-5.82887e-16
387,0.0486204,-6.03704e-16
388,0.0486189,-7.28609e-16
389,0.0486163,-4.64922e-16
390,0.0486149,-6.03705e-16
391,0.0486123,-3.95531e-16
392,0.0486109,-2.63688e-16
393,0.0486082,1.38783e-17
394,0.0486069,-3.2614e-16
395,0.0486041,-1.59601e-16
396,0.0486029,-6.38403e-16
397,0.0486001,-6.03707e-16
398,0.0485989,-9.78422e-16
399,0.048596,-4.85742e-16
400,0.048595,-7.28613e-16
401,0.048592,-2.4981e-16
402,0.048591,-5.62073e-16
403,0.0485879,6.93918e-18
404,0.048587,-4.37168e-16
405,0.0485838,2.28993e-16
406,0.0485831,-7.6331e-17
407,0.0485798,4.23291e-16
408,0.0485791,9.02095e-17
409,0.0485757,5.41257e-16
410,0.0485752,4.85744e-17
411,0.0485716,2.15115e-16
412,0.0485713,-2.22054e-16
413,0.0485676,2.01237e-16
414,0.0485673,-2.15115e-16
415,0.0485635,1.24906e-16
416,0.0485634,-1.66541e-16
417,0.0485594,2.22055e-16
418,0.0485595,-4.16353e-17
419,0.0485554,9.71491e-17
420,0.0485556,-4.57989e-16
421,0.0485513,-2.01238e-16
422,0.0485517,-4.09414e-16
423,0.0485472,9.71492e-17
424,0.0485478,1.11028e-16
425,0.0485431,4.5105e-16
426,0.0485439,3.67779e-16
427,0.0485391,5.482e-16
428,0.0485401,3.33083e-16
429,0.048535,2.49813e-16
430,0.0485362,-9.71494e-17
431,0.0485309,4.16355e-17
432,0.0485323,-1.04089e-16
433,0.0485268,3.46963e-17
434,0.0485285,0
435,0.0485227,1.94299e-16
436,0.0485247,-1.8736e-16
437,0.0485187,-2.8451e-16
438,0.0485208,-5.13505e-16
439,0.0485146,-5.06566e-16
440,0.048517,-5.55141e-16
441,0.0485105,-4.30235e-16
442,0.0485132,-9.22922e-16
443,0.0485064,-6.52292e-16
444,0.0485094,-6.10656e-16
445,0.0485023,-5.34324e-16
446,0.0485056,-8.18834e-16
447,0.0484982,-5.69021e-16
448,0.0485018,-7.21684e-16
449,0.0484941,-5.55143e-16
450,0.048498,-5.89839e-16
451,0.04849,-2.28996e-16
452,0.0484942,-5.41264e-16
453,0.0484859,-1.66543e-16
454,0.0484905,-2.22057e-16
455,0.0484818,-4.8575e-17
456,0.0484867,-3.19207e-16
457,0.0484777,-1.66543e-16
458,0.0484829,-4.44114e-16
459,0.0484736,-1.31847e-16
460,0.0484792,-2.98389e-16
461,0.0484694,-4.85751e-17
462,0.0484754,-2.70632e-16
463,0.0484653,1.0409e-16
464,0.0484717,-6.93929e-18
465,0.0484612,2.15118e-16
466,0.048468,7.63323e-17
467,0.0484571,5.06569e-16
468,0.0484642,3.53904e-16
469,0.048453,5.27388e-16
470,0.0484605,1.80422e-16
471,0.0484488,3.53905e-16
472,0.0484567,6.9393e-17
473,0.0484447,3.95541e-16
474,0.048453,7.63323e-17
475,0.0484406,2.15119e-16
476,0.0484493,-8.32717e-17
477,0.0484365,2.22058e-16
478,0.0484455,-1.52665e-16
479,0.0484323,1.87362e-16
480,0.0484418,-1.31847e-16
481,0.0484282,1.38786e-16
482,0.0484381,-3.12269e-16
483,0.0484241,2.98391e-16
484,0.0484344,-4.16359e-17
485,0.04842,1.17969e-16
486,0.0484306,-4.92691e-16
487,0.0484158,5.55146e-17
488,0.0484269,-6.24538e-17
489,0.0484117,4.0942e-16
490,0.0484231,-3.46966e-17
491,0.0484076,4.02481e-16
492,0.0484194,1.11029e-16
493,0.0484035,4.23299e-16
494,0.0484157,6.93932e-17
495,0.0483994,5.27389e-16
496,0.0484119,2.63694e-16
497,0.0483953,6.66176e-16
498,0.0484082,3.46966e-16
499,0.0483912,4.23299e-16
500,0.0484044,-2.77573e-17
501,0.048387,3.67785e-16
502,0.0484006,-3.46966e-17
503,0.0483829,9.02114e-17
504,0.0483968,-7.84143e-16
505,0.0483789,-1.76259e-15
506,0.0483931,-5.17673e-15
507,0.0483748,-1.12695e-14
508,0.0483893,-2.48011e-14
509,0.0483707,-5.01992e-14
510,0.0483855,-1.00752e-13
